x	y	z
0	0	0
0.001	0.001	0.000159236
0.002	0.002	0.000318471
0.003	0.003	0.000477705
0.004	0.00399999	0.000636938
0.005	0.00499998	0.000796168
0.006	0.00599996	0.000955397
0.007	0.00699994	0.00111462
0.008	0.00799991	0.00127384
0.009	0.00899988	0.00143306
0.01	0.00999983	0.00159228
0.011	0.0109998	0.00175149
0.012	0.0119997	0.00191069
0.013	0.0129996	0.00206989
0.014	0.0139995	0.00222908
0.015	0.0149994	0.00238827
0.016	0.0159993	0.00254744
0.017	0.0169992	0.00270662
0.018	0.017999	0.00286578
0.019	0.0189989	0.00302493
0.02	0.0199987	0.00318408
0.021	0.0209985	0.00334321
0.022	0.0219982	0.00350234
0.023	0.022998	0.00366145
0.024	0.0239977	0.00382056
0.025	0.0249974	0.00397965
0.026	0.0259971	0.00413873
0.027	0.0269967	0.0042978
0.028	0.0279963	0.00445685
0.029	0.0289959	0.00461589
0.03	0.0299955	0.00477492
0.031	0.030995	0.00493393
0.032	0.0319945	0.00509293
0.033	0.032994	0.00525192
0.034	0.0339934	0.00541088
0.035	0.0349929	0.00556984
0.036	0.0359922	0.00572877
0.037	0.0369916	0.00588769
0.038	0.0379909	0.00604659
0.039	0.0389901	0.00620547
0.04	0.0399893	0.00636433
0.041	0.0409885	0.00652318
0.042	0.0419877	0.006682
0.043	0.0429868	0.0068408
0.044	0.0439858	0.00699959
0.045	0.0449848	0.00715835
0.046	0.0459838	0.00731709
0.047	0.0469827	0.00747581
0.048	0.0479816	0.00763451
0.049	0.0489804	0.00779318
0.05	0.0499792	0.00795183
0.051	0.0509779	0.00811046
0.052	0.0519766	0.00826906
0.053	0.0529752	0.00842764
0.054	0.0539738	0.00858619
0.055	0.0549723	0.00874472
0.056	0.0559707	0.00890322
0.057	0.0569691	0.00906169
0.058	0.0579675	0.00922014
0.059	0.0589658	0.00937856
0.06	0.059964	0.00953695
0.061	0.0609622	0.00969531
0.062	0.0619603	0.00985364
0.063	0.0629583	0.0100119
0.064	0.0639563	0.0101702
0.065	0.0649542	0.0103285
0.066	0.0659521	0.0104867
0.067	0.0669499	0.0106449
0.068	0.0679476	0.010803
0.069	0.0689453	0.0109611
0.07	0.0699428	0.0111192
0.071	0.0709404	0.0112772
0.072	0.0719378	0.0114353
0.073	0.0729352	0.0115932
0.074	0.0739325	0.0117512
0.075	0.0749297	0.0119091
0.076	0.0759269	0.012067
0.077	0.0769239	0.0122248
0.078	0.0779209	0.0123826
0.079	0.0789179	0.0125404
0.08	0.0799147	0.0126981
0.081	0.0809115	0.0128558
0.082	0.0819081	0.0130135
0.083	0.0829047	0.0131711
0.084	0.0839013	0.0133286
0.085	0.0848977	0.0134862
0.086	0.085894	0.0136437
0.087	0.0868903	0.0138011
0.088	0.0878865	0.0139585
0.089	0.0888826	0.0141159
0.09	0.0898785	0.0142732
0.091	0.0908745	0.0144305
0.092	0.0918703	0.0145877
0.093	0.092866	0.0147449
0.094	0.0938616	0.0149021
0.095	0.0948572	0.0150592
0.096	0.0958526	0.0152162
0.097	0.096848	0.0153733
0.098	0.0978432	0.0155302
0.099	0.0988384	0.0156871
0.1	0.0998334	0.015844
0.101	0.100828	0.0160008
0.102	0.101823	0.0161576
0.103	0.102818	0.0163144
0.104	0.103813	0.016471
0.105	0.104807	0.0166277
0.106	0.105802	0.0167842
0.107	0.106796	0.0169408
0.108	0.10779	0.0170973
0.109	0.108784	0.0172537
0.11	0.109778	0.0174101
0.111	0.110772	0.0175664
0.112	0.111766	0.0177227
0.113	0.11276	0.0178789
0.114	0.113753	0.018035
0.115	0.114747	0.0181911
0.116	0.11574	0.0183472
0.117	0.116733	0.0185032
0.118	0.117726	0.0186591
0.119	0.118719	0.018815
0.12	0.119712	0.0189709
0.121	0.120705	0.0191266
0.122	0.121698	0.0192824
0.123	0.12269	0.019438
0.124	0.123682	0.0195936
0.125	0.124675	0.0197492
0.126	0.125667	0.0199046
0.127	0.126659	0.0200601
0.128	0.127651	0.0202154
0.129	0.128643	0.0203707
0.13	0.129634	0.020526
0.131	0.130626	0.0206811
0.132	0.131617	0.0208363
0.133	0.132608	0.0209913
0.134	0.133599	0.0211463
0.135	0.13459	0.0213012
0.136	0.135581	0.0214561
0.137	0.136572	0.0216109
0.138	0.137562	0.0217656
0.139	0.138553	0.0219203
0.14	0.139543	0.0220749
0.141	0.140533	0.0222294
0.142	0.141523	0.0223839
0.143	0.142513	0.0225383
0.144	0.143503	0.0226926
0.145	0.144492	0.0228469
0.146	0.145482	0.0230011
0.147	0.146471	0.0231552
0.148	0.14746	0.0233092
0.149	0.148449	0.0234632
0.15	0.149438	0.0236171
0.151	0.150427	0.023771
0.152	0.151415	0.0239248
0.153	0.152404	0.0240785
0.154	0.153392	0.0242321
0.155	0.15438	0.0243856
0.156	0.155368	0.0245391
0.157	0.156356	0.0246925
0.158	0.157343	0.0248459
0.159	0.158331	0.0249991
0.16	0.159318	0.0251523
0.161	0.160305	0.0253054
0.162	0.161292	0.0254584
0.163	0.162279	0.0256114
0.164	0.163266	0.0257642
0.165	0.164252	0.025917
0.166	0.165239	0.0260698
0.167	0.166225	0.0262224
0.168	0.167211	0.026375
0.169	0.168197	0.0265274
0.17	0.169182	0.0266798
0.171	0.170168	0.0268322
0.172	0.171153	0.0269844
0.173	0.172138	0.0271366
0.174	0.173123	0.0272886
0.175	0.174108	0.0274406
0.176	0.175093	0.0275925
0.177	0.176077	0.0277444
0.178	0.177062	0.0278961
0.179	0.178046	0.0280478
0.18	0.17903	0.0281993
0.181	0.180013	0.0283508
0.182	0.180997	0.0285022
0.183	0.18198	0.0286536
0.184	0.182964	0.0288048
0.185	0.183947	0.0289559
0.186	0.184929	0.029107
0.187	0.185912	0.0292579
0.188	0.186895	0.0294088
0.189	0.187877	0.0295596
0.19	0.188859	0.0297103
0.191	0.189841	0.0298609
0.192	0.190823	0.0300115
0.193	0.191804	0.0301619
0.194	0.192785	0.0303122
0.195	0.193767	0.0304625
0.196	0.194747	0.0306126
0.197	0.195728	0.0307627
0.198	0.196709	0.0309127
0.199	0.197689	0.0310625
0.2	0.198669	0.0312123
0.201	0.199649	0.031362
0.202	0.200629	0.0315116
0.203	0.201609	0.0316611
0.204	0.202588	0.0318105
0.205	0.203567	0.0319598
0.206	0.204546	0.032109
0.207	0.205525	0.0322581
0.208	0.206503	0.0324071
0.209	0.207482	0.032556
0.21	0.20846	0.0327049
0.211	0.209438	0.0328536
0.212	0.210416	0.0330022
0.213	0.211393	0.0331507
0.214	0.21237	0.0332991
0.215	0.213347	0.0334474
0.216	0.214324	0.0335957
0.217	0.215301	0.0337438
0.218	0.216277	0.0338918
0.219	0.217254	0.0340397
0.22	0.21823	0.0341875
0.221	0.219205	0.0343352
0.222	0.220181	0.0344828
0.223	0.221156	0.0346303
0.224	0.222131	0.0347777
0.225	0.223106	0.0349249
0.226	0.224081	0.0350721
0.227	0.225056	0.0352192
0.228	0.22603	0.0353662
0.229	0.227004	0.035513
0.23	0.227978	0.0356598
0.231	0.228951	0.0358064
0.232	0.229924	0.0359529
0.233	0.230897	0.0360993
0.234	0.23187	0.0362457
0.235	0.232843	0.0363919
0.236	0.233815	0.0365379
0.237	0.234788	0.0366839
0.238	0.235759	0.0368298
0.239	0.236731	0.0369756
0.24	0.237703	0.0371212
0.241	0.238674	0.0372667
0.242	0.239645	0.0374121
0.243	0.240616	0.0375574
0.244	0.241586	0.0377026
0.245	0.242556	0.0378477
0.246	0.243526	0.0379927
0.247	0.244496	0.0381375
0.248	0.245466	0.0382822
0.249	0.246435	0.0384269
0.25	0.247404	0.0385714
0.251	0.248373	0.0387157
0.252	0.249341	0.03886
0.253	0.25031	0.0390041
0.254	0.251278	0.0391482
0.255	0.252245	0.0392921
0.256	0.253213	0.0394358
0.257	0.25418	0.0395795
0.258	0.255147	0.0397231
0.259	0.256114	0.0398665
0.26	0.257081	0.0400098
0.261	0.258047	0.040153
0.262	0.259013	0.040296
0.263	0.259979	0.0404389
0.264	0.260944	0.0405818
0.265	0.261909	0.0407244
0.266	0.262874	0.040867
0.267	0.263839	0.0410094
0.268	0.264803	0.0411518
0.269	0.265768	0.0412939
0.27	0.266731	0.041436
0.271	0.267695	0.0415779
0.272	0.268658	0.0417198
0.273	0.269622	0.0418614
0.274	0.270584	0.042003
0.275	0.271547	0.0421444
0.276	0.272509	0.0422857
0.277	0.273471	0.0424269
0.278	0.274433	0.0425679
0.279	0.275394	0.0427088
0.28	0.276356	0.0428496
0.281	0.277317	0.0429903
0.282	0.278277	0.0431308
0.283	0.279238	0.0432712
0.284	0.280198	0.0434114
0.285	0.281157	0.0435515
0.286	0.282117	0.0436915
0.287	0.283076	0.0438314
0.288	0.284035	0.0439711
0.289	0.284994	0.0441107
0.29	0.285952	0.0442501
0.291	0.28691	0.0443894
0.292	0.287868	0.0445286
0.293	0.288826	0.0446676
0.294	0.289783	0.0448066
0.295	0.29074	0.0449453
0.296	0.291697	0.045084
0.297	0.292653	0.0452224
0.298	0.293609	0.0453608
0.299	0.294565	0.045499
0.3	0.29552	0.0456371
0.301	0.296475	0.045775
0.302	0.29743	0.0459128
0.303	0.298385	0.0460505
0.304	0.299339	0.046188
0.305	0.300293	0.0463254
0.306	0.301247	0.0464626
0.307	0.3022	0.0465997
0.308	0.303153	0.0467366
0.309	0.304106	0.0468734
0.31	0.305059	0.0470101
0.311	0.306011	0.0471466
0.312	0.306963	0.047283
0.313	0.307914	0.0474192
0.314	0.308866	0.0475553
0.315	0.309816	0.0476912
0.316	0.310767	0.047827
0.317	0.311717	0.0479626
0.318	0.312667	0.0480981
0.319	0.313617	0.0482335
0.32	0.314567	0.0483687
0.321	0.315516	0.0485037
0.322	0.316464	0.0486386
0.323	0.317413	0.0487734
0.324	0.318361	0.048908
0.325	0.319309	0.0490424
0.326	0.320256	0.0491767
0.327	0.321203	0.0493109
0.328	0.32215	0.0494449
0.329	0.323097	0.0495787
0.33	0.324043	0.0497124
0.331	0.324989	0.049846
0.332	0.325934	0.0499793
0.333	0.32688	0.0501126
0.334	0.327825	0.0502457
0.335	0.328769	0.0503786
0.336	0.329713	0.0505113
0.337	0.330657	0.050644
0.338	0.331601	0.0507764
0.339	0.332544	0.0509087
0.34	0.333487	0.0510409
0.341	0.33443	0.0511728
0.342	0.335372	0.0513047
0.343	0.336314	0.0514363
0.344	0.337255	0.0515679
0.345	0.338197	0.0516992
0.346	0.339138	0.0518304
0.347	0.340078	0.0519614
0.348	0.341018	0.0520923
0.349	0.341958	0.052223
0.35	0.342898	0.0523536
0.351	0.343837	0.052484
0.352	0.344776	0.0526142
0.353	0.345714	0.0527443
0.354	0.346653	0.0528742
0.355	0.34759	0.0530039
0.356	0.348528	0.0531335
0.357	0.349465	0.0532629
0.358	0.350402	0.0533921
0.359	0.351338	0.0535212
0.36	0.352274	0.0536501
0.361	0.35321	0.0537789
0.362	0.354145	0.0539075
0.363	0.35508	0.0540359
0.364	0.356015	0.0541641
0.365	0.356949	0.0542922
0.366	0.357883	0.0544201
0.367	0.358817	0.0545479
0.368	0.35975	0.0546755
0.369	0.360683	0.0548029
0.37	0.361615	0.0549301
0.371	0.362548	0.0550572
0.372	0.363479	0.0551841
0.373	0.364411	0.0553108
0.374	0.365342	0.0554374
0.375	0.366273	0.0555638
0.376	0.367203	0.05569
0.377	0.368133	0.055816
0.378	0.369062	0.0559419
0.379	0.369992	0.0560676
0.38	0.37092	0.0561931
0.381	0.371849	0.0563184
0.382	0.372777	0.0564436
0.383	0.373705	0.0565686
0.384	0.374632	0.0566934
0.385	0.375559	0.0568181
0.386	0.376486	0.0569425
0.387	0.377412	0.0570668
0.388	0.378338	0.0571909
0.389	0.379263	0.0573149
0.39	0.380188	0.0574386
0.391	0.381113	0.0575622
0.392	0.382037	0.0576856
0.393	0.382961	0.0578088
0.394	0.383885	0.0579319
0.395	0.384808	0.0580547
0.396	0.385731	0.0581774
0.397	0.386653	0.0582999
0.398	0.387575	0.0584222
0.399	0.388497	0.0585444
0.4	0.389418	0.0586663
0.401	0.390339	0.0587881
0.402	0.39126	0.0589097
0.403	0.39218	0.0590311
0.404	0.393099	0.0591523
0.405	0.394019	0.0592733
0.406	0.394938	0.0593942
0.407	0.395856	0.0595148
0.408	0.396774	0.0596353
0.409	0.397692	0.0597556
0.41	0.398609	0.0598757
0.411	0.399526	0.0599956
0.412	0.400443	0.0601154
0.413	0.401359	0.0602349
0.414	0.402275	0.0603543
0.415	0.40319	0.0604735
0.416	0.404105	0.0605924
0.417	0.405019	0.0607112
0.418	0.405933	0.0608298
0.419	0.406847	0.0609482
0.42	0.40776	0.0610665
0.421	0.408673	0.0611845
0.422	0.409586	0.0613023
0.423	0.410498	0.06142
0.424	0.41141	0.0615374
0.425	0.412321	0.0616547
0.426	0.413232	0.0617718
0.427	0.414142	0.0618886
0.428	0.415052	0.0620053
0.429	0.415962	0.0621218
0.43	0.416871	0.0622381
0.431	0.41778	0.0623542
0.432	0.418688	0.0624701
0.433	0.419596	0.0625858
0.434	0.420503	0.0627013
0.435	0.42141	0.0628166
0.436	0.422317	0.0629318
0.437	0.423223	0.0630467
0.438	0.424129	0.0631614
0.439	0.425035	0.0632759
0.44	0.425939	0.0633902
0.441	0.426844	0.0635044
0.442	0.427748	0.0636183
0.443	0.428652	0.063732
0.444	0.429555	0.0638456
0.445	0.430458	0.0639589
0.446	0.43136	0.064072
0.447	0.432262	0.0641849
0.448	0.433164	0.0642976
0.449	0.434065	0.0644102
0.45	0.434966	0.0645225
0.451	0.435866	0.0646346
0.452	0.436766	0.0647465
0.453	0.437665	0.0648582
0.454	0.438564	0.0649697
0.455	0.439462	0.065081
0.456	0.44036	0.0651921
0.457	0.441258	0.065303
0.458	0.442155	0.0654137
0.459	0.443052	0.0655242
0.46	0.443948	0.0656344
0.461	0.444844	0.0657445
0.462	0.445739	0.0658543
0.463	0.446634	0.065964
0.464	0.447529	0.0660734
0.465	0.448423	0.0661826
0.466	0.449316	0.0662917
0.467	0.45021	0.0664005
0.468	0.451102	0.0665091
0.469	0.451994	0.0666175
